No.,ID,TIMESTAMP
1,30978,1713771447356
2,7552,1713771452358
3,45445,1713771457359
4,26039,1713771462359
5,37492,1713771467365
6,45949,1713771472367
7,2151,1713771477368
8,32522,1713771482371
9,25088,1713771487374
10,8094,1713771492374
11,3264,1713771497379
12,34068,1713771502381
13,9173,1713771507381
14,13939,1713771512385
15,8552,1713771517387
16,17834,1713771522388
17,33368,1713771527391
18,11014,1713771532393
19,19776,1713771537393
20,12898,1713771542398
21,37555,1713771547399
22,9461,1713771552399
23,46432,1713771557403
24,18337,1713771562405
25,28331,1713771567405
26,14378,1713771572407
27,40002,1713771577409
28,32297,1713771582409
29,8837,1713771587411
30,25039,1713771592413
31,2503,1713771597413
32,30685,1713771602414
33,32234,1713771607415
34,2847,1713771612415
35,32068,1713771617418
36,47314,1713771622421
37,15823,1713771627421
38,36986,1713771632426
39,41469,1713771637427
40,25367,1713771642427
41,37137,1713771647431
42,17391,1713771652433
43,45130,1713771657433
44,45428,1713771662435
45,3013,1713771667437
46,24289,1713771672437
47,10766,1713771677440
48,27336,1713771682442
49,29300,1713771687442
50,27309,1713771692447
51,19774,1713771697449
52,37773,1713771702449
53,29697,1713771707451
54,48781,1713771712451
55,1796,1713771717452
56,8005,1713771722455
57,20942,1713771727455
58,20974,1713771732456
59,17487,1713771737459
60,44994,1713771742461
61,37496,1713771747462
62,2529,1713771752467
63,47269,1713771757469
64,14061,1713771762469
65,5030,1713771767470
66,44590,1713771772474
67,25550,1713771777474
68,5059,1713771782479
69,36511,1713771787481
70,49934,1713771792481
71,39949,1713771797487
72,5432,1713771802489
73,25337,1713771807489
74,35623,1713771812494
75,3983,1713771817495
76,38625,1713771822495
77,4533,1713771827496
78,16904,1713771832496
79,25777,1713771837496
80,1345,1713771842499
81,17339,1713771847501
82,7378,1713771852502
83,44409,1713771857507
84,20313,1713771862508
85,24627,1713771867509
86,45468,1713771872510
87,39143,1713771877512
88,40012,1713771882512
89,38177,1713771887517
90,13753,1713771892519
91,34510,1713771897519
92,22853,1713771902520
93,9241,1713771907523
94,22703,1713771912524
95,23049,1713771917529
96,6227,1713771922531
97,31880,1713771927531
98,21667,1713771932535
99,4308,1713771937538
100,29311,1713771942538
101,12836,1713771947543
102,2133,1713771952545
103,41310,1713771957545
104,12313,1713771962550
105,41428,1713771967552
106,8304,1713771972552
107,38319,1713771977557
108,4566,1713771982558
109,42306,1713771987559
110,16674,1713771992563
111,23209,1713771997565
112,27281,1713772002565
113,32925,1713772007570
114,44991,1713772012571
115,34605,1713772017571
116,20467,1713772022576
117,44815,1713772027579
118,7965,1713772032580
119,21700,1713772037583
120,27039,1713772042585
121,40089,1713772047585
122,2297,1713772052588
123,12205,1713772057588
124,38641,1713772062588
125,1710,1713772067593
126,6071,1713772072595
127,916,1713772077595
128,44639,1713772082600
129,22647,1713772087602
130,39077,1713772092602
131,24031,1713772097607
132,23312,1713772102609
133,6133,1713772107611
134,7410,1713772112616
135,19744,1713772117619
136,28148,1713772122619
137,39364,1713772127623
138,25988,1713772132625
139,43823,1713772137625
140,592,1713772142627
141,46924,1713772147629
142,10619,1713772152629
143,38180,1713772157631
144,4250,1713772162634
145,29538,1713772167634
146,4581,1713772172639
147,38203,1713772177642
